,"(1, -1, -1)","(1, -1, 0)","(1, -1, 1)","(1, 0, -1)","(1, 0, 0)","(1, 0, 1)","(1, 1, -1)","(1, 1, 0)","(1, 1, 1)"
"(8, 460, 270, 180, (1, 1, 1))",0.0,0.0,0.0,0.0,-0.05291143408631758,0.0,-0.05122931313214666,0.0,0.0
"(30, 480, 270, 180, (1, 1, 1))",-0.051813968632243704,0.0,-0.05332823553038114,0.0,0.0,0.0,-0.05098130759075206,0.0,0.0
"(65, 500, 225, 225, (1, 1, 1))",-0.05230264576026969,0.0,0.0,0.0,0.0,0.0,60.013421401928866,-0.05290960071194777,0.0
"(113, 520, 270, 225, (1, 1, 1))",0.0,0.0,0.0,0.0,-0.052338347744469715,0.0,-0.050971439113430085,0.0,-0.053022090997767425
"(170, 540, 315, 180, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051368554767260745,-0.05154447411994009
"(233, 560, 0, 180, (1, 1, 1))",-0.05196537302448219,0.0,-0.051430516095790996,0.0,0.0,0.0,0.0,-0.0526652663753294,0.0
"(300, 580, 315, 135, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(367, 40, 315, 45, (1, 1, 1))",-0.22490649476339136,-0.22435654033663704,-0.25624373740908474,-0.2422569901754529,-0.2743342262050923,-0.22686845555844629,-0.2270157798280566,383.1529575851481,-0.23371778231650392
"(430, 60, 270, 0, (1, 1, 1))",-0.10227654281547433,-0.10244200521660732,-0.10427488157997417,-0.100173481079781,-0.10040755743478567,-0.10721277224274045,-0.05673762147672515,-0.10469085627675612,-0.10694043018512343
"(487, 80, 225, 0, (1, 1, 1))",-0.05471224247038686,0.0,0.0,0.0,-0.05405645236432485,-0.055070079031207524,0.0,-0.05792289143773105,0.0
"(535, 100, 225, 0, (1, 1, 1))",0.0,0.0,-0.1068756900677355,-0.05382504117863965,-0.05415828383286245,-0.05520120439953781,0.0,-0.05319291105452665,-0.059083552782736415
"(592, 140, 270, 45, (1, 1, 1))",-0.05414076460572603,0.0,-0.05613492927247359,-0.053256388833610536,-0.05435991642836962,-0.05521272685429771,3303.955410053349,-0.054464162225681984,-0.05513420448703184
"(600, 160, 270, 90, (1, 1, 1))",-0.0550475748929173,-0.055959599783789865,0.0,1886.2069502307802,-0.10459039229654286,0.0,0.0,0.0,0.0
"(592, 180, 225, 90, (1, 1, 1))",-0.055848153397351254,-0.05672655717146507,0.0,0.0,-0.05568050496889365,-0.056053739040969844,-0.05394669991546852,0.0,0.0
"(570, 200, 225, 90, (1, 1, 1))",-0.05546786804519302,-0.0563515233588243,-0.05667615835545357,0.0,-0.05530327791757007,0.0,0.0,-0.054385620302196284,-0.0546753517864384
"(535, 220, 270, 135, (1, 1, 1))",-0.054829324859271195,0.0,-0.055068464425025776,0.0,0.0,0.0,0.0,0.0,0.0
"(487, 240, 225, 90, (1, 1, 1))",-0.0544137419695941,-0.05533424627529976,-0.055728698793960287,-0.05332717517623933,0.0,0.0,-0.052474310095936394,0.11677665346900126,0.0
"(430, 260, 270, 45, (1, 1, 1))",0.0,0.0,0.0,-0.05069677503173861,0.0,-0.052718962464555846,-0.09764906405321878,-0.052186269731540204,643.6842080544081
"(367, 280, 315, 0, (1, 1, 1))",0.0,2709.987149788244,-0.05114148534666654,-0.05087483054877271,-0.0511414853466666,0.0,-0.0511414853466666,-0.05209897860240255,-0.05273358111088532
"(300, 300, 315, 0, (1, 1, 1))",0.0,0.0,2812.2796708801648,0.0,-0.051273410778722564,-0.05116088506450453,-0.051273410778722564,-0.05187401589740479,-0.05224678797235052
"(170, 340, 45, 45, (1, 1, 1))",0.0,0.0,-0.05127126422151415,-0.051782478511729214,0.0,-0.05217259522291698,0.0,0.0,0.0
"(113, 360, 45, 0, (1, 1, 1))",-0.052631711212748455,-0.052422221682986485,-0.051855124210533704,0.0,0.0,0.0,-0.05054505970939787,0.0,0.0
"(65, 380, 0, 0, (1, 1, 1))",-0.053628457693699005,-0.05301259469217006,0.0,-0.05301259469217006,0.0,0.0,0.0,-0.052044183214221884,-0.05184752854955781
"(30, 400, 45, 45, (1, 1, 1))",-0.053004576864950484,-0.05226304139231863,0.0,0.0,0.0,-0.05136166924814726,0.0,0.0,0.0
"(8, 420, 45, 90, (1, 1, 1))",0.0,0.0,0.0,0.0,0.0,-0.05062734022382096,-0.05142084670280805,0.0,0.0
"(0, 440, 90, 45, (1, 1, 1))",0.0,0.0,0.0,-0.05158923500082999,-0.05161417101856054,-0.051570695267176614,0.0,0.0,-0.051480234500364444
"(8, 460, 90, 0, (1, 1, 1))",0.0,0.0,-0.052557409910552744,0.0,0.0,-0.051905868291094885,-0.05122931313214666,0.0,0.0
"(30, 480, 45, 45, (1, 1, 1))",0.0,-0.05302131879325518,-0.05208101577967407,-0.05302131879325518,0.0,-0.05228899890051303,-0.05208101577967407,0.0,0.0
