,"(1, -1, -1)","(1, -1, 0)","(1, -1, 1)","(1, 0, -1)","(1, 0, 0)","(1, 0, 1)","(1, 1, -1)","(1, 1, 0)","(1, 1, 1)"
"(300, 580, 0, 180, (0, 1, 1))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(367, 40, 0, 45, (1, 1, 1))",-0.2385335387296911,72.69961329796875,7.100145289463105,5180.909281851804,-0.2431308131296967,1.9961578396402502,-0.23512612082049708,93.54300180613869,-0.26683991668529683
"(430, 60, 315, 0, (1, 1, 1))",-0.22502047753133217,9.30576466577403,0.29971753302840576,1392.2397169579313,5770.296579974423,48.72949266066532,29.011868751578596,2105.070278633375,2.1616593791474363
"(535, 100, 270, 90, (1, 1, 1))",-0.05520120439953781,-0.056168551250241665,-0.05662802534695186,-0.05428249105315987,-0.05520120439953781,-0.0555956389105703,-0.02403728061485115,-0.05365103908685651,-0.05520120439953781
"(570, 120, 270, 135, (1, 1, 1))",-0.03067566853662281,0.0,0.0,0.0,-0.055595542707256744,0.0,0.0,-0.05525559614051262,0.0
"(592, 140, 315, 135, (1, 1, 1))",-0.05174933264569459,-0.055514491040382266,-0.05518609476816114,-0.05513420448703184,0.5037956360171083,-0.054680684886209134,-0.05597520737861337,-0.055899584281711934,-0.05521272685429771
"(600, 160, 270, 180, (1, 1, 1))",0.0,0.0,0.0,-0.05532890897212575,-0.05498668093425157,0.0,0.0,-0.054493791340815695,-0.053483840445713915
"(592, 180, 315, 225, (1, 1, 1))",-0.05471137230143595,-0.05384408072872369,0.0,-0.031976518759519415,200.4165891614427,0.0,0.0,-0.053685598494518975,-0.05283818097712605
"(570, 200, 270, 225, (1, 1, 1))",-0.05545000498223282,0.0,0.0,0.0,-0.05353549285043239,0.0,-0.05383409100293323,861.1153404758857,-0.05177249914736364
"(535, 220, 270, 225, (1, 1, 1))",0.0,-0.10318262037524807,53.317876680164765,-0.05397552747773037,-0.05320998766063506,-0.052109772360724615,4040.4571008678918,0.0,-0.051308653689705254
